node,stopping_time,total_stopping_time,maximum_excursion,binary_length,parity_vector_length,in_degree,out_degree,distance_from_root,ancestor_count,branching_factor,level_set,umap_1,umap_2
4805,3,59,14416,13,59,1,1,59,2,1,59,4.814214,6.4436088
4806,1,59,10816,13,59,1,1,59,2,1,59,3.7704828,3.3106794
4807,13,121,32452,13,121,1,1,121,2,1,121,4.109977,6.1399894
4808,1,59,4808,13,59,1,1,59,2,1,59,5.33586,3.9820154
4809,3,46,24352,13,46,1,1,46,2,1,46,4.9902167,5.94859
4810,1,59,7216,13,59,2,1,59,3,2,59,4.9705157,5.0604153
4811,8,46,21652,13,46,1,1,46,2,1,46,3.6705172,5.4865584
4812,1,59,5416,13,59,1,1,59,2,1,59,5.3572226,3.6360242
4813,3,59,14440,13,59,1,1,59,2,1,59,4.1734385,5.736822
4814,1,72,61720,13,72,1,1,-1,2,1,-1,6.180721,6.295166
4815,26,72,61720,13,72,1,1,-1,2,1,-1,4.0615196,6.336977
4816,1,20,4816,13,20,2,1,20,3,2,20,4.1371913,6.1820855
4817,3,121,14452,13,121,1,1,121,2,1,121,5.341684,4.918092
4818,1,121,18304,13,121,1,1,121,2,1,121,4.905088,6.201561
4819,6,121,21688,13,121,1,1,121,2,1,121,3.6325128,5.2073154
4820,1,20,4820,13,20,1,1,20,2,1,20,4.7527227,6.7331915
4821,3,20,14464,13,20,1,1,20,2,1,20,4.4086494,4.2850375
4822,1,165,10852,13,165,2,1,165,3,2,165,4.6465044,4.7648478
4823,8,165,32560,13,165,1,1,165,2,1,165,2.8696642,3.6068792
4824,1,72,5812,13,72,1,1,72,2,1,72,3.4501963,3.372901
4825,3,59,16288,13,59,1,1,59,2,1,59,4.4427915,4.7630553
4826,1,72,7240,13,72,1,1,72,2,1,72,4.6424375,2.9472268
4827,13,103,223072,13,103,1,1,-1,2,1,-1,3.3278708,3.8974102
4828,1,72,8152,13,72,2,1,72,3,2,72,4.896814,4.1905713
4829,3,72,14488,13,72,1,1,72,2,1,72,3.559069,4.831176
4830,1,121,27520,13,121,1,1,121,2,1,121,4.9977894,7.185872
4831,16,121,73384,13,121,1,1,-1,2,1,-1,5.2717867,5.8339686
4832,1,20,4832,13,20,1,1,20,2,1,20,4.4401436,6.8217125
