node,kmeans_k2,dbscan_eps_0.05_ms_5,hdbscan_mcs30
1172,0,-1,-1
1173,1,-2,-2
1174,0,-2,-2
1175,1,-2,-2
1176,0,-1,-1
1177,1,-2,-2
1178,0,-2,-2
1179,0,-1,-1
1180,1,-2,-2
1181,1,-2,-2
1182,0,-2,-2
1183,1,-2,-2
1184,0,-2,-2
1185,0,-2,-2
1186,1,-2,-2
1187,1,-2,-2
1188,0,-2,-2
1189,1,-2,-2
1190,0,-2,-2
1191,0,-1,-1
1192,0,-2,-2
1193,0,-1,-1
1194,0,-1,-1
1195,0,-1,-1
1196,0,-2,-2
1197,1,-2,-2
1198,1,-2,-2
1199,0,-2,-2
1200,1,-2,-2
1201,1,-2,-2
1202,0,-2,-2
1203,0,-2,-2
1204,0,-2,-2
1205,1,-2,-2
1206,0,-1,-1
1207,1,-2,-2
1208,0,-2,-2
1209,0,-2,-2
1210,0,-2,-2
1211,0,-2,-2
1212,1,-1,-1
1213,0,-1,-1
1214,0,-2,-2
1215,1,-2,-2
1216,0,-1,-1
1217,1,-1,-1
1218,0,-2,-2
1219,0,-2,-2
1220,1,-2,-2
1221,0,-2,-2
1222,1,-2,-2
1223,0,-2,-2
1224,0,-2,-2
1225,0,-1,-1
1226,1,-2,-2
1227,0,-2,-2
1228,0,-1,-1
1229,1,-2,-2
1230,0,-2,-2
1231,0,-2,-2
1232,1,-1,-1
1233,1,-2,-2
1234,0,-2,-2
1235,0,-2,-2
1236,1,-2,-2
1237,1,-2,-2
1238,1,-2,-2
1239,0,-2,-2
1240,0,-2,-2
1241,1,-2,-2
1242,0,-2,-2
1243,1,-2,-2
1244,0,-2,-2
1245,0,-1,-1
1246,0,-2,-2
1247,0,-2,-2
1248,1,-1,-1
1249,1,-1,-1
1250,1,-2,-2
1251,1,-2,-2
1252,0,-2,-2
1253,1,-2,-2
1254,1,-2,-2
1255,1,-2,-2
1256,1,-1,-1
1257,0,-1,-1
1258,1,-2,-2
1259,1,-2,-2
1260,0,-2,-2
1261,1,-2,-2
1262,1,-1,-1
1263,0,-2,-2
1264,1,-1,-1
1265,0,-1,-1
1266,1,-2,-2
1267,0,-2,-2
1268,0,-2,-2
1269,0,-1,-1
1270,0,-2,-2
1271,1,-2,-2
1272,1,-2,-2
1273,0,-2,-2
1274,0,-2,-2
1275,1,-2,-2
1276,0,-1,-1
1277,1,-2,-2
1278,0,-2,-2
1279,0,-2,-2
1280,0,-2,-2
1281,1,-2,-2
1282,0,-2,-2
1283,0,-1,-1
1284,1,-2,-2
1285,1,-2,-2
1286,1,-2,-2
1287,1,-2,-2
1288,0,-2,-2
1289,1,-2,-2
1290,0,-2,-2
1291,0,-1,-1
1292,0,-2,-2
1293,0,-2,-2
1294,0,-2,-2
1295,1,-2,-2
1296,1,-1,-1
1297,1,-2,-2
1298,1,-2,-2
1299,1,-2,-2
1300,1,-2,-2
1301,0,-2,-2
1302,0,-2,-2
1303,1,-1,-1
1304,1,-2,-2
1305,1,-2,-2
1306,0,-2,-2
1307,1,-2,-2
1308,1,-2,-2
1309,1,-2,-2
1310,1,-2,-2
1311,0,-2,-2
1312,1,-2,-2
1313,1,-2,-2
1314,1,-2,-2
1315,0,-2,-2
1316,1,-2,-2
1317,1,-1,-1
1318,0,-2,-2
1319,0,-2,-2
1320,0,-2,-2
1321,1,-1,-1
1322,1,-2,-2
1323,1,-2,-2
1324,1,-2,-2
1325,1,-2,-2
1326,1,-1,-1
1327,1,-1,-1
1328,1,-2,-2
1329,0,-2,-2
1330,0,-2,-2
1331,1,-2,-2
1332,0,-2,-2
1333,0,-2,-2
1334,1,-2,-2
1335,0,-2,-2
1336,1,-2,-2
1337,1,-2,-2
1338,0,-2,-2
1339,1,-2,-2
1340,1,-2,-2
1341,0,-2,-2
1342,0,-2,-2
1343,0,-2,-2
1344,1,-2,-2
1345,1,-2,-2
1346,0,-2,-2
