node,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,pagerank
164,1.000010000100001e-05,1.000010000100001e-05,1.7344096881937638e-05,0.0006454038797692925,0.00014697592401235012
165,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
166,2.000020000200002e-05,1.000010000100001e-05,2.601614532290646e-05,0.0007404085514041228,0.00019126911869562024
167,1.000010000100001e-05,1.000010000100001e-05,7.32827156543131e-05,0.00193810797209373,0.00010616450698893702
168,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
169,1.000010000100001e-05,1.000010000100001e-05,2.8711511730234606e-06,0.0001686028857392721,6.104590396477063e-05
170,1.000010000100001e-05,1.000010000100001e-05,1.367214844296886e-06,0.000341542394295209,0.00011263850678141147
171,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
172,2.000020000200002e-05,1.000010000100001e-05,9.082212894257886e-06,0.000588802564432435,0.0001287259217714462
173,1.000010000100001e-05,1.000010000100001e-05,7.8712511750235e-06,0.0005416948299118687,0.00012578582579196674
174,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
175,1.000010000100001e-05,1.000010000100001e-05,8.125162503250065e-05,0.002115373750934316,0.00013054462682607563
176,1.000010000100001e-05,1.000010000100001e-05,3.5156953139062784e-07,0.00021289827427109438,8.043088073104692e-05
177,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
178,2.000020000200002e-05,1.000010000100001e-05,1.0898655473109463e-05,0.0007785101786843977,0.00016690526378145863
179,1.000010000100001e-05,1.000010000100001e-05,3.632885157703154e-06,0.0004879259372009182,0.000139076488530899
180,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
181,1.000010000100001e-05,1.000010000100001e-05,1.757847656953139e-06,0.00025359422715293654,8.959971805164509e-05
182,1.000010000100001e-05,1.000010000100001e-05,8.537280120602413e-05,0.0021889101306442845,0.0001903908637256959
183,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
184,2.000020000200002e-05,1.000010000100001e-05,2.6719284385687714e-05,0.001756184966239892,0.00017893873239545598
185,1.000010000100001e-05,1.000010000100001e-05,8.59392187843757e-07,0.0001487212165568949,7.071668366594363e-05
186,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
187,1.000010000100001e-05,1.000010000100001e-05,8.59392187843757e-07,0.00010387763166699407,5.3802796863116804e-05
188,1.000010000100001e-05,1.000010000100001e-05,3.519601642032841e-05,0.0009338063631681319,0.0001621815980758565
189,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
